Name,Lat,Long
Dixie @ Mary Cathrine,38.199848,-85.802984
Dixie @ Luken,38.199009,-85.803332
Dixie @ Oehrle,38.197952,-85.8041
Dixie @ Nobel,38.196524,-85.805031
Dixie @ Leroy,38.195963,-85.805568
Dixie @ Park,38.194595,-85.80633
Dixie @ Garrs 2,38.189684,-85.809836
Dixie @ Garrs,38.189312,-85.809885
Dixie @ Heaton,38.18103,-85.81603
Dixie @ Stewart,38.180146,-85.816904
Dixie @ Kendall,38.17911,-85.817939
Dixie @ Kendall 2,38.179615,-85.817239
Dixie @ Spencerian,38.176805,-85.820354
Dixie @ San Jose,38.178041,-85.818893
Dixie @ Klages,38.175607,-85.821884
Dixie @ Rockford,38.174526,-85.823057
Dixie @ Kingsford,38.173061,-85.824725
Dixie @ Kingsford 2,38.172078,-85.825518
Dixie @ Neil,38.171353,-85.826303
Dixie @ Brick Kiln,38.170426,-85.826977
Dixie @ Long John Silvers,38.170184,-85.827299
Dixie @ Upper Hunters Trace,38.168639,-85.828425
Dixie @ Bonnieville,38.166751,-85.829283
Dixie @ Bonnieville 2,38.167228,-85.829194
Dixie @ Meyers,38.165148,-85.830122
Dixie @ Trent,38.16214,-85.83159
Dixie @ Flintlock,38.160029,-85.832574
Dixie @ Blanton,38.157301,-85.833952
Dixie @ Lower Hunters,38.156256,-85.834549
Dixie @ 6633,38.155042,-85.834995
Dixie @ Lowes driveway,38.154452,-85.835362
Dixie @ Dixie Manor,38.151934,-85.836292
Dixie @ St Pauls Church,38.150516,-85.836897
Dixie @ Crawford,38.150185,-85.837092
Dixie @ Ash,38.147025,-85.83804
Dixie @ Rose Farm,38.146035,-85.838383
Dixie @ Old St Andrews Church,38.144365,-85.839094
Dixie @ Old St Andrews Church 2,38.144785,-85.838979
Dixie @ Greenwood,38.1432490000,-85.839724
TARC Bus,38.200372,-85.80256
